S;2018.01.1;32;63
S;2018.01.1;39;20
S;2018.01.1;2;15
S;2018.01.1;49;10
U;2018.01.1;42;83
S;2018.01.1;40;95
U;2018.01.1;6;26
S;2018.01.1;43;80
U;2018.01.1;18;94
S;2018.01.1;28;98
U;2018.01.1;21;44
S;2018.01.1;38;26
S;2018.01.1;7;7
U;2018.01.1;31;41
S;2018.01.1;37;36
U;2018.01.1;20;39
S;2018.01.1;37;26
S;2018.01.1;13;99
U;2018.01.1;3;95
S;2018.01.1;39;16
S;2018.01.1;34;12
S;2018.01.1;23;7
U;2018.01.1;27;39
S;2018.01.1;32;54
S;2018.01.1;33;95
U;2018.01.1;36;1
U;2018.01.1;31;82
U;2018.01.1;27;89
U;2018.01.1;2;72
S;2018.01.1;27;35
S;2018.01.1;25;30
U;2018.01.1;8;59
U;2018.01.1;14;5
S;2018.01.1;47;65
U;2018.01.1;49;64
U;2018.01.1;18;32
S;2018.01.1;48;48
U;2018.01.1;8;48
S;2018.01.1;36;58
S;2018.01.1;38;54
U;2018.01.1;6;42
U;2018.01.1;49;1
U;2018.01.1;37;10
U;2018.01.2;41;16
S;2018.01.2;38;42
S;2018.01.2;12;100
U;2018.01.2;16;97
S;2018.01.2;38;53
U;2018.01.2;44;7
U;2018.01.2;46;98
S;2018.01.2;48;70
S;2018.01.2;22;53
S;2018.01.2;3;64
U;2018.01.2;15;8
U;2018.01.2;32;57
U;2018.01.2;13;98
U;2018.01.2;48;48
S;2018.01.2;1;57
S;2018.01.2;27;5
U;2018.01.2;10;35
U;2018.01.2;25;84
S;2018.01.2;29;45
S;2018.01.2;35;28
U;2018.01.2;25;17
U;2018.01.2;4;69
U;2018.01.2;17;26
S;2018.01.2;35;29
S;2018.01.2;8;51
S;2018.01.2;46;12
U;2018.01.2;14;6
U;2018.01.2;41;14
S;2018.01.2;49;69
U;2018.01.2;45;8
S;2018.01.2;7;56
S;2018.01.2;4;73
S;2018.01.2;8;32
U;2018.01.2;30;51
U;2018.01.2;19;12
U;2018.01.2;38;79
U;2018.01.2;35;33
S;2018.01.2;46;90
U;2018.01.3;35;48
U;2018.01.3;28;74
U;2018.01.3;44;55
U;2018.01.3;41;32
U;2018.01.3;20;99
S;2018.01.3;22;57
U;2018.01.3;14;67
S;2018.01.3;28;15
U;2018.01.3;5;59
U;2018.01.3;4;41
S;2018.01.3;26;17
U;2018.01.3;34;57
